JPT_POWIER,JPT_KOD_JE,JPT_NAZWA_,GDP_2000,GDP_2001,GDP_2002,GDP_2003,GDP_2004,GDP_2005,GDP_2006,GDP_2007,GDP_2008,GDP_2009,GDP_2010,GDP_2011,GDP_2012,GDP_2013,GDP_2014,GDP_2015,GDP_2016,GDP_2017,GDP_2018,GDP_2019,GDP_2020
12038,0223092,Żórawina,21119766528.0,18666659840.0,14933373952.0,20208443392.0,22088462336.0,22404370432.0,26205085696.0,29484503040.0,31074760704.0,33203920896.0,28853020672.0,35070705664.0,37149519872.0,43015725056.0,33819340800.0,35727802368.0,39392600064.0,38570905600.0,34754228224.0,34008356864.0,43877957632.0
7692,0224022,Ciepłowody,219291808.0,201066176.0,302146368.0,257604592.0,279422624.0,189076496.0,193152224.0,247853664.0,257169920.0,316948416.0,336767616.0,257230656.0,269463616.0,321188448.0,290703904.0,303898912.0,290097472.0,332091264.0,296395648.0,410129216.0,487625088.0
32822,3201022,Białogard,1452278528.0,1242165120.0,1472289664.0,1641063424.0,1602396800.0,2440440064.0,2167734272.0,2625066240.0,2288325632.0,1764384512.0,2529990144.0,1886601344.0,2294116864.0,2125046912.0,3669554432.0,3462868224.0,3590951168.0,3485070848.0,4300744192.0,3164570112.0,3730397696.0
35045,3201043,Tychowo,1336571008.0,1181634176.0,1356943104.0,1495134464.0,1470924928.0,2219809536.0,2074805248.0,2511509248.0,2160185344.0,1631603072.0,2106498688.0,1743684608.0,2058905984.0,1990242688.0,3371672576.0,3143580672.0,3260439040.0,3189992192.0,3949907968.0,2832607488.0,3290982400.0
12821,0609092,Krzczonów,9762948096.0,7906323968.0,8169067520.0,7703512064.0,8990268416.0,7960022528.0,9687548928.0,10151591936.0,6887260160.0,9322808320.0,9526489088.0,19332874240.0,16304523264.0,19945003008.0,10229092352.0,9137180672.0,14302241792.0,18661912576.0,18471235584.0,21953390592.0,15894722560.0
12219,0810032,Brzeźnica,528062688.0,502496800.0,565727616.0,650313344.0,662986048.0,628983936.0,642606656.0,879350720.0,875959936.0,682206592.0,847630016.0,480749888.0,903970240.0,977372416.0,886025216.0,1040511040.0,975650496.0,1068784704.0,1067676096.0,1443574400.0,1832061184.0
12151,1014062,Goszczanów,434314112.0,569452288.0,489601984.0,531967264.0,781465856.0,736548608.0,569828736.0,682216512.0,701289856.0,831358528.0,1126959360.0,779920512.0,696857664.0,806462720.0,850930944.0,1018184192.0,1096655872.0,1153772032.0,1216432384.0,1320355840.0,1356658688.0
12147,1426042,Mokobody,225579648.0,223176992.0,379667648.0,274292992.0,415234240.0,345253632.0,385052864.0,438780992.0,367816896.0,450975520.0,842650624.0,365291968.0,652300928.0,674906304.0,558719104.0,458030144.0,559848192.0,614474560.0,751973632.0,920140672.0,565742464.0
21270,1601052,Lubsza,491552512.0,579424064.0,811555392.0,943372096.0,470867776.0,360914976.0,617874176.0,650238272.0,919571328.0,926328960.0,2182640384.0,765094400.0,1969436672.0,1857728000.0,1732003328.0,1554364416.0,1891642496.0,1904429056.0,1905968000.0,2590055936.0,3135383040.0
9262,1601062,Olszanka,649174528.0,722159808.0,970370624.0,1113128192.0,712852608.0,523733056.0,784572864.0,860877184.0,1137300480.0,1200498944.0,2394692864.0,964866048.0,2139417984.0,2055167488.0,1893943936.0,1751689216.0,2080319232.0,2099438720.0,2098961024.0,2827176704.0,3430815744.0
7754,1204052,Olesno,554557632.0,738139904.0,750598080.0,821034240.0,716604672.0,773001216.0,802169216.0,896139520.0,879071488.0,1178451840.0,1093908736.0,1154142208.0,1545220352.0,1691219328.0,1372849664.0,1523445760.0,1505387264.0,1690037120.0,1723500288.0,1866433024.0,1759382144.0
723,0401011,Aleksandrów Kujawski,284346656.0,143905504.0,240104704.0,191055392.0,234374624.0,160752672.0,216719680.0,218514720.0,255772864.0,584487616.0,728108864.0,326894912.0,230820528.0,373281760.0,593317696.0,652900992.0,661099840.0,706706112.0,728583616.0,1378114816.0,1308359168.0
21082,3204033,Maszewo,563325696.0,346981248.0,571451520.0,912902464.0,627825536.0,707436928.0,664609984.0,961738752.0,585444224.0,697614976.0,1103945984.0,582608128.0,1166167296.0,750707008.0,1161196544.0,1670134528.0,1534321664.0,1583941632.0,1685856256.0,2075262976.0,2036914816.0
11323,0609152,Wysokie,113802624.0,100394288.0,102160064.0,114275536.0,170358944.0,109040864.0,108554944.0,143770048.0,143424416.0,185527920.0,126747440.0,133534496.0,97498288.0,119164136.0,94974992.0,121902920.0,98700184.0,107470784.0,95584880.0,86815856.0,101456848.0
7518,0610033,Łęczna,210842320.0,216660192.0,241302720.0,258812928.0,272494752.0,187036704.0,190175328.0,237418784.0,251728928.0,321371424.0,457878496.0,308496256.0,492386976.0,584527232.0,403097760.0,280663392.0,420720320.0,448345824.0,520009600.0,686509184.0,439265664.0
1278,2203011,Człuchów,101328104.0,64525952.0,124082928.0,139648992.0,110063968.0,99270784.0,109153224.0,103687736.0,221513408.0,121695624.0,127469264.0,109575904.0,156764704.0,175154000.0,166044832.0,202280144.0,216598672.0,241926912.0,194352576.0,156099888.0,159427648.0
14369,1427032,Mochowo,1196696320.0,1811122176.0,2378920704.0,2516065792.0,2050918400.0,2487843072.0,2453474560.0,2469069824.0,1802286208.0,1942024320.0,2886747904.0,3201612032.0,3507156992.0,3152128768.0,4829556224.0,4944581120.0,4836019200.0,4977721344.0,5413054464.0,5350309376.0,6389654528.0
12661,2411053,Kuźnia Raciborska,5013152768.0,5118956544.0,5070385152.0,5194841088.0,5203821568.0,6263702528.0,4593778688.0,3883517184.0,6409223168.0,5808696320.0,10437727232.0,5408971776.0,9936265216.0,9091409920.0,8760555520.0,9018551296.0,9497053184.0,10704693248.0,9308882944.0,12238118912.0,12606826496.0
20225,1818053,Zaklików,1142186624.0,1536602752.0,1527560960.0,1378651008.0,1567457024.0,1694342144.0,1721029632.0,1793297664.0,1588682752.0,1607080448.0,3279357952.0,2025455488.0,3394232832.0,3837730816.0,3002793472.0,2677349632.0,3625864704.0,3438355712.0,3376787456.0,4402110464.0,4731895808.0
27526,2203072,Rzeczenica,123053536.0,94804504.0,105968000.0,115864744.0,172458320.0,112066032.0,114725136.0,146353024.0,142345088.0,194049472.0,199939360.0,155501424.0,114291712.0,128974968.0,118494088.0,137627856.0,129777072.0,129830848.0,130268416.0,157471456.0,195981328.0
8009,1018062,Sokolniki,153628832.0,137958800.0,148479056.0,166407728.0,249243872.0,168377536.0,172147664.0,200806912.0,220318432.0,279266176.0,237392080.0,225385600.0,249321824.0,277156736.0,210117568.0,273724160.0,254299168.0,297563520.0,309675488.0,418203712.0,458457600.0
15162,2005052,Dubicze Cerkiewne,112182632.0,75232240.0,152912544.0,94135944.0,133893536.0,169735776.0,100355152.0,103502456.0,102401808.0,133107976.0,396928160.0,173424304.0,227370320.0,277426816.0,214943504.0,92893632.0,156961632.0,172875744.0,242485312.0,223704800.0,109724784.0
36129,2818033,Gołdap,162709424.0,152077904.0,238102672.0,231509184.0,239753312.0,171692880.0,173993248.0,210647264.0,218075472.0,254629664.0,443533376.0,290748000.0,261476896.0,294068416.0,345554304.0,331760832.0,377908160.0,336177856.0,372498624.0,419686112.0,290266368.0
20744,0618053,Lubycza Królewska,173018304.0,385602464.0,475458176.0,337674432.0,291555488.0,632346112.0,672378176.0,532046592.0,510950112.0,302943200.0,495072288.0,310753568.0,710557376.0,838818112.0,588733760.0,519755904.0,671855488.0,646309056.0,659894848.0,833180992.0,735128960.0
10118,2007043,Nowogród,454456192.0,429313632.0,855673536.0,769532928.0,904086080.0,682731072.0,631455616.0,629372800.0,577032832.0,552411776.0,774329472.0,779299712.0,1109471744.0,1338402816.0,1334420480.0,1254664704.0,1302413184.0,1122486144.0,1208998144.0,1055691584.0,764288000.0
9143,2475011,Sosnowiec,28954628096.0,32370092032.0,26928551936.0,31413309440.0,32558102528.0,33184053248.0,35146825728.0,27415388160.0,37048119296.0,33295910912.0,41813962752.0,43566305280.0,40233111552.0,45441085440.0,37748965376.0,46614216704.0,39126130688.0,42099531776.0,39178403840.0,46334513152.0,43992489984.0
10929,0261011,Jelenia Góra,1575709568.0,1256959232.0,1370569472.0,1908174848.0,1535351808.0,1535312384.0,1139111808.0,1018710016.0,1147507712.0,1336075776.0,1735024128.0,990308096.0,2570797568.0,1316362496.0,1774354176.0,1513324288.0,1937574016.0,1954866432.0,2014125184.0,2083023872.0,2722223104.0
17112,0217043,Strzelin,397429984.0,357333664.0,463388096.0,441380256.0,564184768.0,387089856.0,415182080.0,483745952.0,511521920.0,626579712.0,777632960.0,502664640.0,656817920.0,662895872.0,576931520.0,612567680.0,607058880.0,691331264.0,655227328.0,879225472.0,1077115520.0
