gmina_code,gmina_name,tot_pop_1998,working_pop_1998,higher_1998,post_secondary_1998,secondary_1998,secondary_general_1998,secondary_vocational_1998,vocational_1998,primary_1998,tot_pop_2002,working_pop_2002,higher_2002,post_secondary_2002,secondary_2002,secondary_general_2002,secondary_vocational_2002,vocational_2002,primary_2002,tot_pop_abs_change,tot_pop_pct_change,working_pop_abs_change,working_pop_pct_change,higher_abs_change,higher_pct_change,post_secondary_abs_change,post_secondary_pct_change,secondary_abs_change,secondary_pct_change,secondary_general_abs_change,secondary_general_pct_change,secondary_vocational_abs_change,secondary_vocational_pct_change,vocational_abs_change,vocational_pct_change,primary_abs_change,primary_pct_change
0662000,Powiat m. Chełm,63318.0,33179.0,3886.0,,15094.0,,,9697.0,15592.0,68909.0,44083.0,8216.0,2343.0,22309.0,6294.0,16015.0,9015.0,15259.0,5591.0,0.08830032534192489,10904.0,0.3286416106573435,4330.0,1.1142563046834792,,,7215.0,0.4780045051013648,,,,,-682.0,-0.07033103021553058,-333.0,-0.021357106208311955
0663000,Powiat m. Lublin,345758.0,193333.0,40491.0,,100131.0,,,45632.0,71566.0,357110.0,235737.0,65179.0,14304.0,118297.0,49448.0,68849.0,42738.0,59812.0,11352.0,0.03283221212524367,42404.0,0.21933141264036662,24688.0,0.6097157393000914,,,18166.0,0.18142233673887206,,,,,-2894.0,-0.06342040673211781,-11754.0,-0.1642400022356985
0664000,Powiat m. Zamość,59129.0,30946.0,4694.0,,15330.0,,,8036.0,12553.0,67160.0,42770.0,8922.0,2755.0,21001.0,6342.0,14659.0,8871.0,13318.0,8031.0,0.13582167802601092,11824.0,0.3820849221224068,4228.0,0.9007243289305497,,,5671.0,0.369928245270711,,,,,835.0,0.10390741662518665,765.0,0.0609416075838445
0800000,LUBUSKIE,982684.0,517861.0,40114.0,,179380.0,,,172971.0,270363.0,1008954.0,632523.0,69696.0,26234.0,243646.0,70444.0,173202.0,213258.0,252885.0,26270.0,0.026732907017922344,114662.0,0.22141462670484938,29582.0,0.7374482724235928,,,64266.0,0.3582673653696064,,,,,40287.0,0.2329118754010788,-17478.0,-0.06464641981336204
0801000,Powiat gorzowski,58961.0,30378.0,1166.0,,8029.0,,,10784.0,18141.0,62881.0,38634.0,3018.0,1416.0,12688.0,3557.0,9131.0,13816.0,18069.0,3920.0,0.06648462543036923,8256.0,0.2717756270985582,1852.0,1.588336192109777,,,4659.0,0.5802715157553867,,,,,3032.0,0.2811572700296736,-72.0,-0.003968910203406648
0802000,Powiat krośnieński,57876.0,30125.0,2064.0,,9401.0,,,10131.0,15885.0,57523.0,35870.0,2825.0,1562.0,12549.0,3713.0,8836.0,13130.0,15509.0,-353.0,-0.006099246665284401,5745.0,0.19070539419087137,761.0,0.3687015503875969,,,3148.0,0.33485799383044357,,,,,2999.0,0.29602211035435794,-376.0,-0.023670129052565315
0803000,Powiat międzyrzecki,58959.0,30398.0,2027.0,,9401.0,,,10198.0,17154.0,58773.0,36415.0,3270.0,1475.0,12870.0,2598.0,10272.0,13132.0,15796.0,-186.0,-0.0031547346461100086,6017.0,0.1979406539903941,1243.0,0.6132215096201282,,,3469.0,0.36900329752154026,,,,,2934.0,0.28770347126887624,-1358.0,-0.07916520928063425
0804000,Powiat nowosolski,123847.0,63982.0,3665.0,,20953.0,,,23791.0,34961.0,86999.0,53960.0,4475.0,2215.0,20750.0,4846.0,15904.0,19875.0,22238.0,-36848.0,-0.29752840197986224,-10022.0,-0.15663780438248256,810.0,0.22100954979536153,,,-203.0,-0.009688350116928363,,,,,-3916.0,-0.16460005884578202,-12723.0,-0.36391979634449817
0805000,Powiat słubicki,44672.0,23118.0,1249.0,,7488.0,,,7337.0,13174.0,46684.0,29275.0,2330.0,1269.0,11786.0,3738.0,8048.0,8666.0,13081.0,2012.0,0.04503939828080229,6157.0,0.2663292672376503,1081.0,0.8654923939151321,,,4298.0,0.5739850427350427,,,,,1329.0,0.1811367043750852,-93.0,-0.007059359344162745
0806000,Powiat strzelecko-drezdenecki,50349.0,25509.0,1047.0,,6937.0,,,8240.0,16579.0,50525.0,30918.0,2214.0,1163.0,9952.0,2951.0,7001.0,11144.0,15504.0,176.0,0.0034956007070646887,5409.0,0.21204280842055745,1167.0,1.1146131805157593,,,3015.0,0.43462591898515207,,,,,2904.0,0.3524271844660194,-1075.0,-0.06484106399662223
0807000,Powiat sulęciński,34146.0,17614.0,815.0,,5494.0,,,5449.0,10102.0,35499.0,21265.0,1647.0,976.0,7745.0,1889.0,5856.0,7162.0,9738.0,1353.0,0.03962396766824811,3651.0,0.2072783013511979,832.0,1.0208588957055216,,,2251.0,0.4097196942118675,,,,,1713.0,0.31436960910258765,-364.0,-0.03603246881805583
0808000,Powiat świebodziński,56291.0,29067.0,1737.0,,9557.0,,,9900.0,15637.0,56204.0,34406.0,3088.0,1554.0,12883.0,3321.0,9562.0,12087.0,14808.0,-87.0,-0.0015455401396315574,5339.0,0.18367908624901091,1351.0,0.7777777777777778,,,3326.0,0.34801716019671447,,,,,2187.0,0.22090909090909092,-829.0,-0.05301528426168702
